Rk,Player,Tm,Age,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
67,Knile Davis,KAN,23,2,0,7,29,4.1,0,11,3.5,14.5,1
68,Vernon Davis,SFO,30,2,2,7,83,11.9,2,29,3.5,41.5,0
69,Larry Fitzgerald,ARI,31,2,2,7,73,10.4,0,22,3.5,36.5,0
70,Brian Hartline,MIA,28,2,2,7,62,8.9,0,15,3.5,31.0,0
71,DeAndre Hopkins,HOU,22,2,2,7,111,15.9,2,76,3.5,55.5,0
72,Greg Jennings,MIN,31,2,2,7,62,8.9,1,18,3.5,31.0,0
73,Travis Kelce,KAN,25,2,0,7,130,18.6,0,27,3.5,65.0,0
74,Heath Miller,PIT,32,2,2,7,61,8.7,0,13,3.5,30.5,1
75,Cordarrelle Patterson,MIN,23,2,2,7,82,11.7,0,26,3.5,41.0,0
76,Kyle Rudolph,MIN,25,2,2,7,69,9.9,1,17,3.5,34.5,0
77,Mohamed Sanu,CIN,25,2,2,7,120,17.1,1,76,3.5,60.0,0
78,Matt Asiata,MIN,27,2,1,6,53,8.8,1,25,3.0,26.5,0
79,Jason Avant,CAR,31,2,0,6,54,9.0,1,21,3.0,27.0,0
80,Doug Baldwin,SEA,26,2,2,6,49,8.2,0,16,3.0,24.5,0
81,Andre Ellington,ARI,25,2,2,6,37,6.2,0,11,3.0,18.5,1
82,Anthony Fasano,KAN,30,2,2,6,68,11.3,1,22,3.0,34.0,0
83,Michael Floyd,ARI,25,2,2,6,138,23.0,0,63,3.0,69.0,0
84,A.J. Green,CIN,26,2,2,6,131,21.8,1,77,3.0,65.5,0
85,Devin Hester,ATL,32,2,0,6,101,16.8,0,35,3.0,50.5,0
86,Allen Hurns,JAX,23,2,2,6,123,20.5,2,46,3.0,61.5,0
87,Jerrel Jernigan,NYG,25,2,1,6,40,6.7,0,11,3.0,20.0,0
88,Chris Johnson,NYJ,29,2,2,6,23,3.8,1,12,3.0,11.5,0
89,LeSean McCoy,PHI,26,1,1,6,41,6.8,0,12,6.0,41.0,0
90,Lamar Miller,MIA,23,2,2,6,26,4.3,1,11,3.0,13.0,1
91,Rueben Randle,NYG,23,2,2,6,40,6.7,1,13,3.0,20.0,0
92,Rod Streater,OAK,26,2,2,6,52,8.7,1,17,3.0,26.0,0
93,Shane Vereen,NWE,25,2,1,6,35,5.8,0,12,3.0,17.5,0
94,Terrance Williams,DAL,25,2,2,6,70,11.7,1,21,3.0,35.0,0
95,Jason Witten,DAL,32,2,2,6,46,7.7,0,15,3.0,23.0,0
96,Davante Adams,GNB,22,2,0,5,50,10.0,0,24,2.5,25.0,0
97,Montee Ball,DEN,24,2,2,5,45,9.0,0,16,2.5,22.5,0
98,Gary Barnidge,CLE,29,2,0,5,54,10.8,0,13,2.5,27.0,0
99,Cole Beasley,DAL,25,2,0,5,52,10.4,0,13,2.5,26.0,0
100,Ahmad Bradshaw,IND,28,1,0,5,70,14.0,0,22,5.0,70.0,0
101,John Brown,ARI,24,2,0,5,57,11.4,1,20,2.5,28.5,0
102,Jamaal Charles,KAN,28,2,2,5,23,4.6,0,14,2.5,11.5,0
103,Marques Colston,NOR,31,2,2,5,110,22.0,0,57,2.5,55.0,1
104,Jeff Cumberland,NYJ,27,2,2,5,64,12.8,0,26,2.5,32.0,0
105,Benny Cunningham,STL,24,2,0,5,34,6.8,0,12,2.5,17.0,0
106,Taylor Gabriel,CLE,23,2,0,5,26,5.2,0,8,2.5,13.0,0
107,Ryan Grant,WAS,24,2,0,5,57,11.4,0,21,2.5,28.5,0
108,Jermaine Gresham,CIN,26,2,2,5,41,8.2,0,19,2.5,20.5,0
109,T.Y. Hilton,IND,25,1,1,5,41,8.2,0,9,5.0,41.0,0
110,Andre Holmes,OAK,26,2,0,5,45,9.0,0,15,2.5,22.5,0
111,Justin Hunter,TEN,23,2,0,5,89,17.8,0,39,2.5,44.5,0
112,Fred Jackson,BUF,33,2,1,5,40,8.0,0,28,2.5,20.0,1
113,Jermaine Kearse,SEA,24,2,1,5,69,13.8,0,30,2.5,34.5,0
114,Lance Kendricks,STL,26,2,2,5,37,7.4,0,13,2.5,18.5,0
115,Eddie Lacy,GNB,23,2,2,5,29,5.8,0,12,2.5,14.5,0
116,Jarvis Landry,MIA,22,2,0,5,49,9.8,0,16,2.5,24.5,1
117,Marshawn Lynch,SEA,28,2,2,5,41,8.2,1,14,2.5,20.5,0
118,Denarius Moore,OAK,26,2,1,5,37,7.4,0,12,2.5,18.5,0
119,Hakeem Nicks,IND,26,1,0,5,36,7.2,1,13,5.0,36.0,0
120,Bobby Rainey,TAM,27,2,1,5,38,7.6,1,19,2.5,19.0,1
121,Andre Roberts,WAS,26,2,0,5,79,15.8,0,31,2.5,39.5,0
122,Allen Robinson,JAX,21,2,0,5,75,15.0,0,54,2.5,37.5,0
123,Brandon Tate,CIN,27,2,0,5,69,13.8,0,50,2.5,34.5,0
124,Kenbrell Thompkins,NWE,26,1,1,5,37,7.4,0,14,5.0,37.0,0
125,Levine Toilolo,ATL,23,2,2,5,32,6.4,1,12,2.5,16.0,0
126,Mike Tolbert,CAR,29,2,2,5,39,7.8,0,16,2.5,19.5,0
127,Nate Washington,TEN,31,2,2,5,60,12.0,0,19,2.5,30.0,0
128,Danny Woodhead,SDG,29,2,0,5,34,6.8,0,14,2.5,17.0,0
129,Robert Woods,BUF,22,2,2,5,83,16.6,0,32,2.5,41.5,0
130,Kamar Aiken,BAL,25,2,0,4,30,7.5,0,8,2.0,15.0,0
131,Dwayne Allen,IND,24,1,1,4,64,16.0,1,41,4.0,64.0,1
132,Justin Brown,PIT,23,2,0,4,44,11.0,0,18,2.0,22.0,1
133,Riley Cooper,PHI,27,1,1,4,29,7.3,0,13,4.0,29.0,0
134,Malcom Floyd,SDG,33,2,2,4,50,12.5,1,32,2.0,25.0,0
135,Arian Foster,HOU,28,2,2,4,29,7.3,0,11,2.0,14.5,1
136,Devonta Freeman,ATL,22,2,0,4,40,10.0,0,18,2.0,20.0,0
137,Toby Gerhart,JAX,27,2,2,4,24,6.0,0,11,2.0,12.0,0
138,Brandon Gibson,MIA,27,2,1,4,36,9.0,0,12,2.0,18.0,0
139,Roy Helu,WAS,26,2,0,4,26,6.5,0,9,2.0,13.0,0
140,Santonio Holmes,CHI,30,2,1,4,41,10.3,0,15,2.0,20.5,0
141,Mark Ingram,NOR,25,2,0,4,22,5.5,0,13,2.0,11.0,0
142,Steve Johnson,SFO,28,2,0,4,59,14.8,0,21,2.0,29.5,0
